DATASET,DATUMROUND,TIJD,LINKS,RECHTS
r16_VOL-HUP,SAT 19-12 | ROUND 16,19:00,VOL.png,HUP.png
r16_TAC-PEL,SAT 19-12 | ROUND 16,20:00,TAC.png,PEL.png
r16_BEV-DFS,SAT 19-12 | ROUND 16,20:15,BEV.png,DFS.png
r16_BWH-IZE,SAT 19-12 | ROUND 16,20:15,BWH.png,IZE.png
r16_EUP-HCV,SAT 19-12 | ROUND 16,20:15,EUP.png,HCV.png
r16_SAB-HUB,SAT 19-12 | ROUND 16,20:15,SAB.png,HUB.png
r17_SPR-SAB,SAT 06-02 | ROUND 17,18:00,SPR.png,SAB.png
r17_DFS-TAC,SAT 06-02 | ROUND 17,19:00,DFS.png,TAC.png
r17_EUP-HUP,SAT 06-02 | ROUND 17,20:15,EUP.png,HUP.png
r17_HCV-HVA,SAT 06-02 | ROUND 17,20:15,HCV.png,HVA.png
r17_HUB-BWH,SAT 06-02 | ROUND 17,20:15,HUB.png,BWH.png
r17_IZE-BEV,SAT 06-02 | ROUND 17,20:15,IZE.png,BEV.png
r17_PEL-VOL,SAT 06-02 | ROUND 17,20:15,PEL.png,VOL.png
r18_DFS-PEL,SAT 13-02 | ROUND 18,19:00,DFS.png,PEL.png
r18_HVA-HUP,SAT 13-02 | ROUND 18,19:00,HVA.png,HUP.png
r18_BWH-SPR,SAT 13-02 | ROUND 18,20:00,BWH.png,SPR.png
r18_TAC-IZE,SAT 13-02 | ROUND 18,20:00,TAC.png,IZE.png
r18_BEV-HUB,SAT 13-02 | ROUND 18,20:15,BEV.png,HUB.png
r18_SAB-HCV,SAT 13-02 | ROUND 18,20:15,SAB.png,HCV.png
r18_VOL-EUP,SUN 14-02 | ROUND 18,14:00,VOL.png,EUP.png
r19_SPR-BEV,SAT 20-02 | ROUND 19,18:00,SPR.png,BEV.png
r19_DFS-VOL,SAT 20-02 | ROUND 19,19:00,DFS.png,VOL.png
r19_HUP-SAB,SAT 20-02 | ROUND 19,19:00,HUP.png,SAB.png
r19_EUP-HVA,SAT 20-02 | ROUND 19,20:15,EUP.png,HVA.png
r19_HCV-BWH,SAT 20-02 | ROUND 19,20:15,HCV.png,BWH.png
r19_HUB-TAC,SAT 20-02 | ROUND 19,20:15,HUB.png,TAC.png
r19_IZE-PEL,SAT 20-02 | ROUND 19,20:15,IZE.png,PEL.png
r20_PEL-HUB,SAT 27-02 | ROUND 20,18:00,PEL.png,HUB.png
r20_BWH-HUP,SAT 27-02 | ROUND 20,19:00,BWH.png,HUP.png
r20_DFS-IZE,SAT 27-02 | ROUND 20,19:00,DFS.png,IZE.png
r20_VOL-HVA,SAT 27-02 | ROUND 20,19:00,VOL.png,HVA.png
r20_TAC-SPR,SAT 27-02 | ROUND 20,20:00,TAC.png,SPR.png
r20_BEV-HCV,SAT 27-02 | ROUND 20,20:15,BEV.png,HCV.png
r20_SAB-EUP,SAT 27-02 | ROUND 20,20:15,SAB.png,EUP.png
r21_SPR-PEL,SAT 06-03 | ROUND 21,18:00,SPR.png,PEL.png
r21_HVA-SAB,SAT 06-03 | ROUND 21,19:00,HVA.png,SAB.png
r21_HUP-BEV,SAT 06-03 | ROUND 21,20:00,HUP.png,BEV.png
r21_EUP-BWH,SAT 06-03 | ROUND 21,20:15,EUP.png,BWH.png
r21_HCV-TAC,SAT 06-03 | ROUND 21,20:15,HCV.png,TAC.png
r21_HUB-DFS,SAT 06-03 | ROUND 21,20:15,HUB.png,DFS.png
r21_IZE-VOL,SAT 06-03 | ROUND 21,20:15,IZE.png,VOL.png
r22_SPR-DFS,SAT 20-03 | ROUND 22,18:00,SPR.png,DFS.png
r22_TAC-HUP,SAT 20-03 | ROUND 22,20:00,TAC.png,HUP.png
r22_BEV-EUP,SAT 20-03 | ROUND 22,20:15,BEV.png,EUP.png
r22_IZE-HUB,SAT 20-03 | ROUND 22,20:15,IZE.png,HUB.png
r22_PEL-HCV,SAT 20-03 | ROUND 22,20:15,PEL.png,HCV.png
r22_BWH-HVA,SAT 20-03 | ROUND 22,20:30,BWH.png,HVA.png
r22_VOL-SAB,SUN 21-03 | ROUND 22,14:00,VOL.png,SAB.png
r23_SPR-IZE,SAT 03-04 | ROUND 23,18:00,SPR.png,IZE.png
r23_HUP-PEL,SAT 03-04 | ROUND 23,19:00,HUP.png,PEL.png
r23_HVA-BEV,SAT 03-04 | ROUND 23,19:00,HVA.png,BEV.png
r23_VOL-HUB,SAT 03-04 | ROUND 23,19:00,VOL.png,HUB.png
r23_EUP-TAC,SAT 03-04 | ROUND 23,20:15,EUP.png,TAC.png
r23_HCV-DFS,SAT 03-04 | ROUND 23,20:15,HCV.png,DFS.png
r23_SAB-BWH,SAT 03-04 | ROUND 23,20:15,SAB.png,BWH.png
r24_DFS-HUP,TUE 06-04 | ROUND 24,21:00,DFS.png,HUP.png
r24_VOL-BWH,WED 07-04 | ROUND 24,19:30,VOL.png,BWH.png
r24_IZE-HCV,WED 07-04 | ROUND 24,20:00,IZE.png,HCV.png
r24_PEL-EUP,WED 07-04 | ROUND 24,20:00,PEL.png,EUP.png
r24_TAC-HVA,WED 07-04 | ROUND 24,20:00,TAC.png,HVA.png
r24_BEV-SAB,WED 07-04 | ROUND 24,20:15,BEV.png,SAB.png
r24_HUB-SPR,WED 07-04 | ROUND 24,20:15,HUB.png,SPR.png
r25_BWH-BEV,SAT 10-04 | ROUND 25,20:00,BWH.png,BEV.png
r25_EUP-DFS,SAT 10-04 | ROUND 25,20:00,EUP.png,DFS.png
r25_HCV-HUB,SAT 10-04 | ROUND 25,20:00,HCV.png,HUB.png
r25_HVA-PEL,SAT 10-04 | ROUND 25,20:00,HVA.png,PEL.png
r25_IZE-HUP,SAT 10-04 | ROUND 25,20:00,IZE.png,HUP.png
r25_SAB-TAC,SAT 10-04 | ROUND 25,20:00,SAB.png,TAC.png
r25_VOL-SPR,SAT 10-04 | ROUND 25,20:00,VOL.png,SPR.png
r26_BEV-VOL,SAT 17-04 | ROUND 26,20:00,BEV.png,VOL.png
r26_DFS-HVA,SAT 17-04 | ROUND 26,20:00,DFS.png,HVA.png
r26_HUB-HUP,SAT 17-04 | ROUND 26,20:00,HUB.png,HUP.png
r26_IZE-EUP,SAT 17-04 | ROUND 26,20:00,IZE.png,EUP.png
r26_PEL-SAB,SAT 17-04 | ROUND 26,20:00,PEL.png,SAB.png
r26_SPR-HCV,SAT 17-04 | ROUND 26,20:00,SPR.png,HCV.png
r26_TAC-BWH,SAT 17-04 | ROUND 26,20:00,TAC.png,BWH.png
